"","Country","Year","Birth_Skilled_Professional","Mortality_Ratio1","Gross_Income"
"1092","Czech Republic","2013",99.8,NA,25530
"1098","Democratic Republic of the Congo","1990",NA,879,750
"1108","Democratic Republic of the Congo","2000",NA,874,410
"1121","Democratic Republic of the Congo","2013",80.1,NA,680
"1123","Denmark","1990",NA,11,17980
"1133","Denmark","2000",NA,9,28240
"1145","Denmark","2012",98.2,NA,43200
"1158","Djibouti","2000",NA,401,1700
"1198","Dominican Republic","1990",NA,198,2950
"1208","Dominican Republic","2000",NA,79,5460
"1224","Ecuador","1990",NA,185,4380
"1234","Ecuador","2000",NA,103,5310
"1250","Egypt","1990",NA,106,3800
"1260","Egypt","2000",NA,63,6260
"1276","El Salvador","1990",NA,157,2820
"1286","El Salvador","2000",NA,84,4880
"1302","Equatorial Guinea","1990",NA,1310,730
"1312","Equatorial Guinea","2000",NA,702,6030
"1323","Equatorial Guinea","2011",68.3,NA,27630
"1337","Eritrea","2000",NA,733,1150
"1347","Eritrea","2010",34.1,NA,1050
"1362","Estonia","2000",NA,26,9380
"1378","Ethiopia","1990",NA,1250,410
"1388","Ethiopia","2000",NA,897,480
"1404","Fiji","1990",NA,63,3790
"1414","Fiji","2000",NA,42,5560
"1427","Fiji","2013",98.8,NA,7610
"1429","Finland","1990",NA,6,17090
"1439","Finland","2000",NA,5,25500
"1455","France","1990",NA,15,17130
"1465","France","2000",NA,12,25560
"1478","France","2013",98.3,NA,37580
"1480","Gabon","1990",NA,422,11120
"1490","Gabon","2000",NA,405,11710
"1502","Gabon","2012",89.3,NA,16490
"1505","Gambia","1990",NA,1030,900
"1515","Gambia","2000",NA,887,1190
"1528","Gambia","2013",57.2,NA,1620
"1530","Georgia","1990",NA,34,5210
"1540","Georgia","2000",NA,37,2700
"1556","Germany","1990",NA,11,18750
"1566","Germany","2000",NA,8,25510
"1582","Ghana","1990",NA,634,1200
"1592","Ghana","2000",NA,467,1720
"1608","Greece","1990",NA,5,12950
"1618","Greece","2000",NA,4,18340
"1633","Grenada","1990",NA,41,4580
"1643","Grenada","2000",NA,29,7210
"1659","Guatemala","1990",NA,205,3370
"1669","Guatemala","2000",NA,178,4950
